case_group,case_id,metric,value,RAC_value,change_percent,percent_unavailable_reason
load_decomposition,RAC,support_runtime_delta_x_force_rms_N,478427.42463583016,478427.42463583016,0.0,
load_decomposition,RAC,support_runtime_delta_x_force_abs_peak_N,1711493.652641907,1711493.652641907,0.0,
load_decomposition,RAC,support_runtime_delta_pitch_moment_rms_Nm,282017297.5973248,282017297.5973248,0.0,
load_decomposition,RAC,support_runtime_delta_pitch_moment_abs_peak_Nm,944032503.2381368,944032503.2381368,0.0,
load_decomposition,RAC,branch1_proxy_endstop_reaction_p95_N,575878.0243323357,575878.0243323357,0.0,
load_decomposition,RAC,branch1_proxy_endstop_reaction_abs_peak_N,881833.9660598005,881833.9660598005,0.0,
load_decomposition,RAC,branch2_proxy_endstop_reaction_p95_N,930299.9482425514,930299.9482425514,0.0,
load_decomposition,RAC,branch2_proxy_endstop_reaction_abs_peak_N,999002.7056897056,999002.7056897056,0.0,
buffer_pressure,B_P85_N9,soil_energy_total_J,19262895.370300245,9754911.229495715,97.46868953615325,
buffer_pressure,B_P85_N9,soil_energy_source_interval_contribution_J,12906577.855855193,7857376.310705911,64.2606557900198,
buffer_pressure,B_P85_N9,soil_energy_proxy_interval_contribution_J,2834134.1248225826,810745.807542214,249.57123409793448,
buffer_pressure,B_P85_N9,soil_energy_transition_interval_contribution_J,3522183.389622453,1086789.111247614,224.09078754746182,
buffer_pressure,B_P85_N9,source_frame_fraction,0.9333444425929012,0.9715047492084653,-3.927958833619217,
buffer_pressure,B_P85_N9,proxy_frame_fraction,0.06665555740709882,0.028495250791534744,133.91812865497076,
buffer_pressure,B_P85_N9,roll_phi_rms_deg,0.19337345237221515,0.1607811867737967,20.271193572089093,
buffer_pressure,B_P85_N9,roll_phi_abs_peak_deg,0.7383960289040603,0.629523989060107,17.29434330318399,
buffer_pressure,B_P85_N9,roll_p_rms_deg_s,0.16217267131821964,0.12070771044567308,34.351542846311126,
buffer_pressure,B_P85_N9,roll_p_abs_peak_deg_s,0.6853550372095341,0.8024914273104661,-14.596590831320439,
buffer_pressure,B_P85_N9,buffer_relative_pitch_rms_rad,0.026240814410365604,0.02274643210347487,15.362331512012872,
buffer_pressure,B_P85_N9,buffer_relative_pitch_abs_peak_rad,0.044577569898295366,0.04491263224289723,-0.7460314122534064,
buffer_pressure,B_P85_N9,branch1_stroke_utilization_p95,0.938805681748744,0.9105575581547505,3.1022886297532364,
buffer_pressure,B_P85_N9,branch1_stroke_utilization_abs_peak,0.9882907716865326,0.9905607470215019,-0.22916063873869977,
buffer_pressure,B_P85_N9,branch2_stroke_utilization_p95,0.9544825889271715,0.9293332287855461,2.7061724861049683,
buffer_pressure,B_P85_N9,branch2_stroke_utilization_abs_peak,0.9999917017195692,0.9997618944194286,0.022986203157302886,
buffer_pressure,B_P85_N9,branch1_pressure_min_Pa,7043664.229770923,11182317.957048526,-37.01069620068257,
buffer_pressure,B_P85_N9,branch1_pressure_max_Pa,10722857.871894171,17019695.346408445,-36.99735715800021,
buffer_pressure,B_P85_N9,branch2_pressure_min_Pa,6927950.394233672,11003680.62669265,-37.039699449038,
buffer_pressure,B_P85_N9,branch2_pressure_max_Pa,10615430.094378507,16860789.799664993,-37.040730472842824,
buffer_pressure,B_P85_N9,branch1_rope_tension_p95_N,529365.627024832,836348.3638455358,-36.70512792171853,
